Unnamed: 0,resid,resid_l2,resid_l2l3,regime,vix,vix3m,vix_term,baa10y,hy_oas,t10y2y
2011-12-27 14:30:00,0.0005141960209986,,,stress,21.91,25.54,0.8578700078308535,3.3,,1.72
2011-12-28 14:30:00,-0.0044179066389584,,,stress,23.52,26.75,0.8792523364485981,3.25,,1.65
2011-12-29 14:30:00,0.0009472627774028,,,stress,22.65,26.25,0.8628571428571428,3.28,,1.63
2011-12-30 14:30:00,0.0008810919041157,,,stress,23.4,26.86,0.8711839166046165,3.27,,1.64
2012-01-03 14:30:00,-0.0020983928717325,,,stress,22.97,26.05,0.8817658349328215,3.29,,1.7
2012-01-04 14:30:00,0.0017096267103857,,,stress,22.22,25.31,0.8779138680363493,3.3,,1.75
2012-01-05 14:30:00,-0.0052425338322699,,,stress,21.48,24.7,0.8696356275303644,3.27,,1.75
2012-01-06 14:30:00,0.0002588715857807,,,stress,20.63,24.09,0.8563719385637194,3.27,,1.73
2012-01-09 14:30:00,-0.0067083888811826,,,stress,21.07,24.12,0.8735489220563847,3.28,,1.72
2012-01-10 14:30:00,-0.001880131168141,,,stress,20.69,23.68,0.8737331081081082,3.25,,1.76
2012-01-11 14:30:00,0.0024742067012718,,,stress,21.05,24.11,0.8730817088345085,3.27,,1.69
2012-01-12 14:30:00,-0.0080785307963993,,,stress,20.47,24.04,0.8514975041597338,3.27,,1.72
2012-01-13 14:30:00,0.0024236256328328,,,stress,20.91,24.67,0.8475881637616538,3.24,,1.65
2012-01-17 14:30:00,-0.0005153187861625,,,stress,22.2,25.0,0.888,3.24,,1.66
2012-01-18 14:30:00,-0.0010169076515769,,,stress,20.89,24.18,0.8639371381306865,3.25,,1.68
2012-01-19 14:30:00,0.010947621219458,,,normal,19.87,23.65,0.8401691331923891,3.22,,1.75
2012-01-20 14:30:00,-0.0013566142035206,,,normal,18.28,22.82,0.8010517090271692,3.24,,1.79
2012-01-23 14:30:00,0.006063543532342,,,normal,18.67,22.32,0.8364695340501793,3.24,,1.83
2012-01-24 14:30:00,0.0001287930194968,,,normal,18.91,22.03,0.858374943259192,3.25,,1.84
2012-01-25 14:30:00,0.0071941818368922,,,normal,18.31,21.36,0.8572097378277154,3.31,,1.79
2012-01-26 14:30:00,-0.0026412427503066,,,normal,18.57,21.68,0.856549815498155,3.28,,1.74
2012-01-27 14:30:00,-0.0021582116633574,,,normal,18.53,21.4,0.8658878504672898,3.28,,1.71
2012-01-30 14:30:00,0.0020119827176028,,,normal,19.4,21.92,0.8850364963503649,3.25,,1.65
2012-01-31 14:30:00,0.0016810958938234,,,normal,19.44,22.09,0.8800362154821186,3.24,,1.61
2012-02-01 14:30:00,0.0046951203174721,,,normal,18.55,21.54,0.861188486536676,3.25,,1.64
2012-02-02 14:30:00,0.0002810819744825,,,normal,17.98,21.01,0.8557829604950024,3.25,,1.63
2012-02-03 14:30:00,-0.0020180761847659,,,normal,17.1,20.05,0.8528678304239402,3.26,,1.74
2012-02-06 14:30:00,-0.0013526661311698,,,normal,17.76,20.39,0.8710152035311428,3.22,,1.69
2012-02-07 14:30:00,0.000491933639596,,,normal,17.65,20.14,0.8763654419066533,3.19,,1.75
2012-02-08 14:30:00,0.0035949780519407,,,normal,18.16,20.68,0.8781431334622825,3.17,,1.74
2012-02-09 14:30:00,0.0042946357912725,,,normal,18.63,21.34,0.873008434864105,3.18,,1.77
2012-02-10 14:30:00,0.0034345085847291,,,stress,20.79,23.28,0.893041237113402,3.17,,1.69
2012-02-13 14:30:00,-0.005102357641068,,,normal,19.04,22.12,0.860759493670886,3.19,,1.7
2012-02-14 14:30:00,0.0037229335293805,,,normal,19.54,22.82,0.8562664329535494,3.18,,1.63
2012-02-15 14:30:00,0.0041795600026728,,,stress,21.14,24.12,0.8764510779436152,3.19,,1.64
2012-02-16 14:30:00,0.0025544466299575,,,normal,19.22,23.17,0.8295209322399654,3.17,,1.7
2012-02-17 14:30:00,0.0040936725395188,,,normal,17.78,22.39,0.794104510942385,3.17,,1.72
2012-02-21 14:30:00,0.0069184576209095,,,normal,18.19,22.35,0.8138702460850112,3.15,,1.74
2012-02-22 14:30:00,-0.0028775809634768,,,normal,18.19,22.09,0.8234495246717972,3.15,,1.72
2012-02-23 14:30:00,-0.0006446160535731,,,normal,16.8,20.78,0.8084696823869105,3.14,,1.68
2012-02-24 14:30:00,0.0050385971654172,,,normal,17.31,21.18,0.8172804532577903,3.12,,1.67
2012-02-27 14:30:00,0.0002938980968486,,,normal,18.19,21.87,0.8317329675354367,3.12,,1.62
2012-02-28 14:30:00,-0.0012491769056236,,,normal,17.96,21.6,0.8314814814814815,3.12,,1.64
2012-02-29 14:30:00,0.0002930895497743,,,normal,18.43,21.8,0.8454128440366973,3.1,,1.68
2012-03-01 14:30:00,-0.0057387063718923,,,normal,17.26,21.03,0.8207322872087495,3.1,,1.73
2012-03-02 14:30:00,-0.0076906036024126,,,normal,17.29,21.26,0.8132643461900281,3.09,,1.71
2012-03-05 14:30:00,-8.637632228113319e-05,,,normal,18.05,21.99,0.8208276489313325,3.11,,1.69
2012-03-06 14:30:00,-0.0010150288850609,,,stress,20.87,23.9,0.8732217573221758,3.1,,1.66
2012-03-07 14:30:00,0.0004501794574121,,,normal,19.07,22.72,0.8393485915492959,3.11,,1.68
2012-03-08 14:30:00,0.0001479623545161,,,normal,17.95,21.84,0.8218864468864469,3.11,,1.71
2012-03-09 14:30:00,0.0037233139061033,,,normal,17.11,21.22,0.8063147973609802,3.11,,1.71
2012-03-12 13:30:00,-0.0039068728721019,,,normal,15.64,20.81,0.7515617491590583,3.09,,1.71
2012-03-13 13:30:00,-0.0070579331223737,,,normal,14.8,19.6,0.7551020408163265,3.08,,1.79
2012-03-14 13:30:00,0.0063595048593148,,,normal,15.31,20.75,0.7378313253012049,3.07,,1.89
2012-03-15 13:30:00,0.0027816778669766,,,normal,15.42,20.54,0.750730282375852,3.07,,1.92
2012-03-16 13:30:00,0.0028503317386259,,,normal,14.47,20.37,0.7103583701521846,3.04,,1.94
2012-03-19 13:30:00,-0.0003384920817534,,,normal,15.04,19.94,0.7542627883650952,3.03,,2.0
2012-03-20 13:30:00,-0.0024230899580527,,,normal,15.58,19.96,0.7805611222444889,3.02,,1.97
2012-03-21 13:30:00,-0.0011045336129522,,,normal,15.13,19.25,0.785974025974026,3.0,,1.92
2012-03-22 13:30:00,-0.0038249039482804,,,normal,15.57,19.55,0.7964194373401534,3.01,,1.92
2012-03-23 13:30:00,-0.0032749322155485,,,normal,14.82,18.64,0.7950643776824035,3.01,,1.88
2012-03-26 13:30:00,0.0042443935578378,0.004432669246206126,0.006700327086732242,normal,14.26,17.43,0.8181296615031555,3.01,,1.9
